Student ID,Score
1155173918,7.00
1155174993,2.33
1155176537,7.00
1155176966,0.00
1155191382,0.00
1155191410,0.00
1155191456,7.00
1155191526,7.00
1155192798,7.00
1155192880,0.00
1155192980,7.00
1155193741,7.00
1155193995,7.00
1155194058,7.00
1155194479,0.00
1155194868,0.00
1155194870,4.67
1155199603,0.00
1155211015,7.00
1155211040,7.00
1155211055,7.00
1155211098,7.00
1155211199,7.00
1155211243,0.00
1155211546,7.00
1155211804,0.00
1155211871,7.00
1155212081,0.00
1155212502,7.00
1155212608,0.00
1155213117,0.00
1155213269,7.00
1155213485,7.00
1155213577,0.00
1155213654,7.00
1155213655,7.00
1155213824,0.00
1155214212,7.00
1155214263,7.00
1155214314,7.00
1155214378,7.00
1155214428,0.00
1155214586,7.00
1155214619,0.00
1155214626,7.00
